Time,Brute,Compiled Brute,Brute Better,Compiled Brute Better,Step
1 hour,22.22802552358676,22.603154423172114,26.144973203380868,29.460444698988255,36.34651628423226
5 hours,34.17838135848937,34.33021091812438,38.89888483477928,41.84568263729318,57.62257429771015
12 hours,35.380995899244574,35.510353907665944,40.182364573067076,43.092061192132256,59.76367344910362
1 day,36.33315882940744,36.44472512042993,41.198552043780104,44.0788740208899,61.458876003764054
1 week,39.00621811800093,39.067836743611835,44.05135094141963,46.84920787285226,66.21791123947465
2 weeks,39.958381048163794,40.00220795637583,45.06753841213268,47.8360207016099,67.91311379413507
1 month,41.02441630993606,41.04832373009216,46.20525512219823,48.940849758591725,69.81105126036826
3 months,42.533558848820974,42.52926706407643,47.815874156981074,50.50491108740316,72.49788374063175
6 months,43.48572177898384,43.46363827684042,48.83206162769412,51.4917239161608,74.19308629529218
1 year,44.43867473218635,44.3987847506047,49.84909224351295,52.47935551746867,75.88969538346977
2 years,45.39083766234921,45.33315596336869,50.86527971422599,53.46616834622631,77.58489793813021
