n_bit, mean, std, samples
6, 0.0, 0.0, 10
7, 0.0, 0.0, 10
8, 0.0, 0.0, 10
9, 0.00019948482513427735, 0.00039896968232555136, 10
10, 0.000701284408569336, 0.0004592009323036129, 10
11, 0.0007978439331054688, 0.0005983432405801953, 10
12, 0.0011939048767089845, 0.0009747541658661509, 10
13, 0.004288101196289062, 0.0027515324486085332, 10
14, 0.00907449722290039, 0.004513795719538855, 10
15, 0.015159106254577637, 0.01100844271362791, 10
16, 0.018650126457214356, 0.01835224432354941, 10
17, 0.10916829109191895, 0.06774504372211249, 10
18, 0.24997961521148682, 0.11393326480484635, 10
19, 0.3704718828201294, 0.2623350995168199, 10
6, 0.00010280609130859375, 0.00030841827392578123, 10
7, 0.0, 0.0, 10
8, 9.97781753540039e-05, 0.0002993345260620117, 10
9, 9.97781753540039e-05, 0.0002993345260620117, 10
10, 0.0004986763000488281, 0.0004986915446526699, 10
11, 0.0004987001419067382, 0.0004987001943389899, 10
12, 0.0017951726913452148, 0.001074112634574134, 10
13, 0.00359041690826416, 0.0029652809067895647, 10
14, 0.007878899574279785, 0.005614451842733345, 10
15, 0.022440028190612794, 0.009561920121578466, 10
16, 0.03560473918914795, 0.027060901192295716, 10
17, 0.030518460273742675, 0.029152819496789224, 10
18, 0.13823044300079346, 0.0935488804823321, 10
19, 0.3489782094955444, 0.27103987139795405, 10
6, 3.99017333984375e-05, 0.00019547777335748322, 25
7, 3.9911270141601564e-05, 0.0001955244936666031, 25
8, 7.975578308105468e-05, 0.00027046594630375417, 25
9, 0.0002779865264892578, 0.000445885750435296, 25
10, 0.00043757438659667967, 0.0004937535455491108, 25
11, 0.0008776378631591797, 0.00076340080235989, 25
12, 0.0020375537872314455, 0.0010651569576487514, 25
13, 0.004666576385498047, 0.0029441344726844534, 25
14, 0.008498468399047852, 0.004765586239170124, 25
15, 0.018949289321899414, 0.01226883279442494, 25
16, 0.029482402801513673, 0.023230057651202497, 25
17, 0.08328248977661133, 0.0538973029097899, 25
18, 0.15854580879211425, 0.12118178255788058, 25
19, 0.4197841739654541, 0.26556632398346824, 25
20, 0.9375613307952881, 0.5123438718876412, 25
21, 1.523485040664673, 1.2058236001338138, 25
22, 3.4218312549591063, 2.636629684437549, 25
23, 7.39693808555603, 4.8270132525959335, 25
24, 15.960742826461791, 8.311182092459124, 25
25, 30.498169269561767, 22.761047877764604, 25
26, 50.00414662361145, 38.22286870385398, 25
27, 141.70911178588867, 95.3335217375793, 25
28, 283.9158045959473, 167.5875840997476, 25
29, 495.78722595214845, 402.78915799825785, 25
30, 1022.0542761707306, 903.784241430331, 25
