,Brute,Brute,Compiled Brute,Compiled Brute,Better Brute,Better Brute,Compiled Better Brute,Compiled Better Brute,Step,Step,Compiled Step,Compiled Step
,Mean time,Std time,Mean time,Std time,Mean time,Std time,Mean time,Std time,Mean time,Std time,Mean time,Std time
bit size of p and a,,,,,,,,,,,,
8,9.970664978027343e-05,0.00029912029140458324,,,,,,,,,,
9,0.00019923448562622067,0.000398470193621894,,,,,,,,,,
10,0.00034880638122558594,0.00047534854509002423,0.00019806623458862305,0.0003961737750335428,,,,,,,0.0,0.0
11,0.0006981253623962403,0.00045703489233708166,0.0003989338874816895,0.0005817202651936332,,,,,,,0.0,0.0
12,0.001346433162689209,0.0011491691132859926,0.0006482958793640138,0.0007900954090536974,0.00014965534210205082,0.00035625100609497053,,,,,0.0,0.0
13,0.0032912015914916986,0.0017257068490982065,0.0022938728332519533,0.001549399363861812,0.0003989219665527344,0.0004885776442553786,0.0,0.0,,,4.98652458190918e-05,0.0002173575673202352
14,0.006482672691345215,0.004476886141929214,0.004388248920440674,0.002450951781093627,0.0005470156669616699,0.0005841738976422753,5.140304565429688e-05,0.0002240606813972876,,,0.0,0.0
15,0.01849896907806397,0.006378476959334497,0.008876323699951172,0.00604918193834211,0.001396644115447998,0.0008006861993799258,0.00014961957931518554,0.00035616584970257434,,,0.0,0.0
16,0.02642984390258789,0.020752806960762142,0.019597625732421874,0.011822776973091559,0.00179518461227417,0.0015642542106771686,0.00019940137863159183,0.0003988034155969573,,,0.0,0.0
17,0.06772387027740479,0.03687005922676144,0.04288464784622192,0.028256889768591486,0.006035256385803223,0.0032108825134542556,0.0004985332489013672,0.000498533761997041,,,4.98652458190918e-05,0.0002173575673202352
18,0.1345107913017273,0.11105248241153268,0.1037239670753479,0.08149516813076944,0.012622809410095215,0.0064626544618369116,0.0007479906082153322,0.0006963003932799068,,,4.98652458190918e-05,0.0002173575673202352
19,0.27296321392059325,0.17493412995040625,0.24581830501556395,0.11990205835405128,0.019846832752227785,0.01386006868474502,0.0022442936897277828,0.0014082239297836185,,,9.974241256713869e-05,0.00029922724007600844
20,0.7120176672935485,0.4036267708975947,0.4120383143424988,0.2880079767903325,0.038611328601837164,0.023593878780505992,0.004240238666534424,0.002710172191270564,0.0012466192245483398,0.0004327529915419208,0.00019941329956054687,0.00039882804576396136
21,1.2666365146636962,0.9927732016492484,0.7985264301300049,0.5541466951156492,0.06991361379623412,0.03813365332149818,0.0067319989204406745,0.0034397997216874233,0.0016954302787780759,0.0004572945433223973,0.00029920339584350587,0.00045704075779391337
22,,,2.2688601613044743,1.311378124100656,0.19316775798797609,0.10603497667515792,0.010971760749816895,0.006384628568374621,0.002541577816009521,0.0005003850123350237,0.0005984067916870117,0.0006587998377442392
23,,,,,0.3313908219337464,0.22229953469687486,0.030524706840515132,0.014978492957628813,0.0035405397415161134,0.0004994071342497412,0.0014959931373596188,0.00091943759909741
24,,,,,0.7007287263870239,0.3970341308322672,0.07500154972076416,0.03651220697105223,0.004936802387237549,0.0007379157071609671,0.002295422554016113,0.0016434454163527102
25,,,,,1.3093053221702575,1.0058682651801027,0.12956377267837524,0.06854870926554253,0.0076288461685180674,0.0009042568435609924,0.004986917972564698,0.0025598532139474816
26,,,,,2.6086623549461363,1.882304290504912,0.1947012424468994,0.096762643241198,0.010272502899169922,0.001269090858630443,,
27,,,,,,,0.5047426342964172,0.2890341369982992,0.015906143188476562,0.0013218895330812698,,
28,,,,,,,1.0684574127197266,0.5532106399055357,0.022290420532226563,0.002050323556436884,,
29,,,,,,,2.2283501625061035,1.4605942676936827,0.03371237516403198,0.0049182294842566796,,
30,,,,,,,,,0.050514948368072514,0.005203659797796194,,
31,,,,,,,,,0.0963430404663086,0.01580711140580721,,
32,,,,,,,,,0.14098175764083862,0.018785028822445225,,
33,,,,,,,,,0.2286041855812073,0.0286686872647936,,
34,,,,,,,,,0.3441291689872742,0.04634460784538155,,
35,,,,,,,,,0.4871121883392334,0.06099005901941661,,
36,,,,,,,,,0.688356876373291,0.0844964408961504,,
37,,,,,,,,,1.0233541488647462,0.10129712807795717,,
38,,,,,,,,,1.4946043729782104,0.20789140131038905,,
39,,,,,,,,,2.2798931717872617,0.2851598929229682,,
40,,,,,,,,,3.1848282098770135,0.4148934837707841,,
41,,,,,,,,,5.074224841594696,0.5376441963895676,,
