Time,Brute,Compiled Brute,Brute Better,Compiled Brute Better,Step,Compiled Step
1 hour,31.75763421800759,31.53929836786481,36.364170475088294,39.70598549815384,57.24871217747501,57.746494474709095
5 hours,33.93372088349293,33.60460593010122,38.67935981980684,42.007793020965146,61.23109775852613,61.45931793118638
12 hours,35.1174234859275,34.728049207899986,39.938728619744275,43.25988265428291,63.3973534738686,63.47894281907296
1 day,36.054613001088136,35.61752876016691,40.935826398015855,44.25121719555474,65.1124735888368,65.07796884604275
1 week,38.685636599375115,38.114613559293055,43.73503375361926,47.0342450993999,69.92742448551282,69.56700243335463
2 weeks,39.622826114535755,39.00409311155998,44.732131531890836,48.02557964067171,71.64254460048103,71.16602846032443
1 month,40.67209724080572,39.99994848179559,45.84847554970561,49.135471176806014,73.56278163430284,72.95628732804768
3 months,42.15750747840436,41.40974021729691,47.42883813781843,50.70669925039145,76.28118270076001,75.49068361847196
6 months,43.094696993565,42.299219769563834,48.42593591609001,51.69803379166328,77.99630281572823,77.08970964544176
1 year,44.032664108111256,43.189437335585914,49.42386100047977,52.69019085721409,79.71284599009488,78.69006240690447
2 years,44.96985362327189,44.07891688785284,50.42095877875134,53.68152539848592,81.42796610506309,80.28908843387427
